proxy,run_id,workload,resource_profile,duration_s,connections,threads,keepalive,rps,avg_latency_ms,stdev_latency_ms,max_latency_ms,p50_ms,p75_ms,p90_ms,p99_ms,total_requests,total_bytes,transfer_kb_s,avg_rps_thread,stdev_rps_thread,errors,peak_cpu_pct,avg_cpu_pct,peak_mem_mib,avg_mem_mib
envoy(v1.32.2),churn_baseline_short_1x,churn,baseline,30,100,4,false,1229.15,81.12,12.97,161.31,83.74,86.83,89.82,99.33,36908,15906898,517.35,308.82,22.64,0,52.27,51.23,169.00,168.77
envoy(v1.32.2),churn_cpu-limited_short_1x,churn,cpu-limited,30,100,4,false,1234.57,80.77,4.36,158.46,80.68,81.89,83.03,90.20,37080,15980298,519.63,310.20,57.45,0,51.40,49.99,23.82,23.38
envoy(v1.32.2),concurrency_baseline_short_1x,concurrency,baseline,30,5000,4,true,14012.61,301.84,246.61,1990,218.39,262.87,681.22,1220,421007,106713580,3471.36,3560,1080,2996,169.90,158.15,187.80,180.06
envoy(v1.32.2),concurrency_baseline_short_2x,concurrency,baseline,30,10000,4,true,13584.60,662.82,277.85,2000,587.39,738.52,978.37,1750,408755,103966310,3379.2,3490,1760,4833,166.53,159.64,332.60,306.24
envoy(v1.32.2),latency_baseline_extended_1x,latency,baseline,300,500,4,true,1492.45,335.35,37.14,1860,331.97,341.04,350.71,371.14,447877,184968806,601.94,374.94,109.24,0,43.14,35.89,44.81,43.69
envoy(v1.32.2),latency_baseline_short_1x,latency,baseline,30,500,4,true,1472.53,337.66,41.45,1040,334.88,343.77,353.97,397.18,44246,18276680,593.89,370.10,87.98,0,43.69,36.05,44.30,42.70
envoy(v1.32.2),latency_baseline_short_2x,latency,baseline,30,1000,4,true,1472.56,641.21,121.18,1640,670.86,685.16,697.51,724.64,44265,18276680,593.91,370.65,191.40,401,51.62,36.44,65.06,64.68
envoy(v1.32.2),throughput_baseline_extended_1x,throughput,baseline,300,100,4,true,1502.86,66.53,3.92,130.01,65.45,68.18,71.16,81.14,450973,185797181,604.66,377.37,75.87,0,39.20,36.48,27.07,26.61
envoy(v1.32.2),throughput_baseline_short_1x,throughput,baseline,30,100,4,true,1479.90,67.47,4.66,139.79,66.49,68.84,72.27,82.00,44432,18308137,595.43,371.96,70.56,0,37.47,35.86,26.56,25.65
envoy(v1.32.2),throughput_cpu-limited_short_1x,throughput,cpu-limited,30,100,4,true,1491.95,66.94,4.89,137.13,65.62,68.51,73.12,82.40,44794,18454938,600.28,374.75,88.70,0,37.47,35.67,23.55,23.31
envoy(v1.32.2),throughput_memory-limited_short_1x,throughput,memory-limited,30,100,4,true,1498.65,66.64,4.63,132.82,65.65,68.27,71.50,81.81,44995,18538824,602.98,376.41,47.89,0,38.29,35.85,25.99,25.11
pavis(no-tag),churn_baseline_short_1x,churn,baseline,30,100,4,false,1124.75,88.64,11.25,216.12,87.08,91.79,100.32,126.80,33799,14638121,475.60,282.51,41.09,0,49.85,123.98,405.80,404.12
pavis(no-tag),churn_cpu-limited_short_1x,churn,cpu-limited,30,100,4,false,1016.54,98.07,28.71,216.52,86.44,100.89,115.33,200.02,30542,13222543,429.85,255.27,57.35,0,99.85,73.44,37.99,33.79
pavis(no-tag),concurrency_baseline_short_1x,concurrency,baseline,30,5000,4,true,1731.90,650.02,156.26,1880,673.08,697.50,782.29,882.14,52060,18958254,615.94,441.42,284.94,9845,81.21,46.54,437.20,377.78
pavis(no-tag),concurrency_baseline_short_2x,concurrency,baseline,30,10000,4,true,1473.38,920.87,423.28,2000,918.57,1180,1520,1940,44355,13295944,431.47,504.94,333.12,21319,98.59,70.64,511.80,370.74
pavis(no-tag),latency_baseline_extended_1x,latency,baseline,300,500,4,true,1484.52,337.17,38.01,1920,333.38,339.25,348.55,367.60,445503,182651453,594.39,372.84,123.22,0,39.66,33.30,74.80,65.65
pavis(no-tag),latency_baseline_short_1x,latency,baseline,30,500,4,true,1492.19,338.66,105.49,1880,330.63,339.10,348.08,845.37,44828,18381537,597.46,375.10,168.27,0,39.09,33.43,49.45,46.48
pavis(no-tag),latency_baseline_short_2x,latency,baseline,30,1000,4,true,1455.98,634.17,148.93,1810,674.58,693.68,704.93,715.25,43769,17941135,582.96,366.12,132.91,508,48.25,34.48,76.57,70.77
pavis(no-tag),throughput_baseline_extended_1x,throughput,baseline,300,100,4,true,1495.26,66.87,2.79,135.29,66.25,67.18,68.87,77.71,448672,183951688,598.69,375.53,59.74,0,34.28,33.38,25.00,22.13
pavis(no-tag),throughput_baseline_short_1x,throughput,baseline,30,100,4,true,1512.31,66.03,4.02,135.75,65.31,66.26,68.01,79.72,45408,18612224,605.51,379.89,45.03,0,33.96,33.04,19.34,17.77
pavis(no-tag),throughput_cpu-limited_short_1x,throughput,cpu-limited,30,100,4,true,1492.69,66.90,3.81,134.23,66.33,67.34,68.80,79.74,44815,18371052,597.66,374.97,64.08,0,33.94,33.33,18.38,17.00
pavis(no-tag),throughput_memory-limited_short_1x,throughput,memory-limited,30,100,4,true,1518.29,65.77,3.75,134.44,65.17,66.06,68.14,76.90,45578,18685624,607.91,381.28,37.07,0,34.21,33.43,17.70,16.66
